,UserID,DateTime,SessionID,ProblemID,StepID,Owner,DialogueAct,DialogueActConfidence,Spoke,StepAnswer,ClickStep,NicoMovement,Answered,Transcript
0,08_180817,8/18/17 18:01,1,1,0,user,,50,0,1,hello nico start,,,HELLO FIRST TIME
1,8_180817,8/18/17 18:01,1,1,0,nico,,,,,,1,no answer,Hi! My name is Nico. What is your name?
2,08_180817,8/18/17 18:02,1,1,0,user,statement,50,1,1,none,,,my name is Jonathan
3,8_180817,8/18/17 18:02,1,1,0,nico,,,,,,1,no answer,Nice to meet you Jonathan. Are you ready to get started?
4,08_180817,8/18/17 18:02,1,1,0,user,,50,0,1,problem start,,,problem start
5,8_180817,8/18/17 18:02,1,1,0,nico,,,,,,1,no answer,"I really want to go swimming with my friends, but I need to put some waterproof paint on first. I need help figuring out how much paint to put on my legs and torso. Can you give me a hint for how to figure out the first part, STEP ONE?"
6,08_180817,8/18/17 18:02,1,1,1,user,statement,50,1,1,none,,,what times 6 equals 2
7,8_180817,8/18/17 18:02,1,1,1,nico,,,,,,1,no answer,Do we divide six by two or by three?
8,08_180817,8/18/17 18:02,1,1,1,user,statement,50,1,1,none,,,what divided by 6 equals to go
9,8_180817,8/18/17 18:02,1,1,1,nico,,,,,,1,no answer,Do we divide six by two or by three?
10,08_180817,8/18/17 18:03,1,1,1,user,statement,50,1,1,none,,,divide 6 by 2
11,8_180817,8/18/17 18:03,1,1,1,nico,,,,,,1,no answer,Okay so we divide. Can you tell me what we are dividing again?
12,08_180817,8/18/17 18:03,1,1,1,user,statement,50,1,1,none,,,divide 6 by 3
13,8_180817,8/18/17 18:03,1,1,1,nico,,,,,,1,no answer,Okay so we divide six by three. Six divided by three is two right?
14,08_180817,8/18/17 18:03,1,1,1,user,statement,50,1,1,none,,,correct
15,8_180817,8/18/17 18:03,1,1,1,nico,,,,,,1,no answer,Did you say four is the answer?
16,08_180817,8/18/17 18:03,1,1,1,user,statement,50,1,1,none,,,correct so 12 / 3 equals 4 then
17,8_180817,8/18/17 18:03,1,1,1,nico,,,,,,1,no answer,Did you say four is the answer?
18,08_180817,8/18/17 18:03,1,1,1,user,statement,50,1,1,none,,,so 12 / 3 equals 4
19,8_180817,8/18/17 18:03,1,1,1,nico,,,,,,1,no answer,Did you say four is the answer?
20,08_180817,8/18/17 18:03,1,1,1,user,statement,50,1,1,none,,,yes
21,8_180817,8/18/17 18:03,1,1,1,nico,,,,,,1,answering,Cool! So we need four ounces of paint to cover my feet. I will put the answer is four.
22,08_180817,8/18/17 18:03,1,1,2,user,,50,0,33,step_1_2,,,
23,8_180817,8/18/17 18:03,1,1,2,nico,,,,,,1,no answer,Can you give me a hint for STEP TWO?
24,08_180817,8/18/17 18:04,1,1,2,user,statement,50,1,33,none,,,so two times 3 equals 6
25,8_180817,8/18/17 18:04,1,1,2,nico,,,,,,1,no answer,So two times three is six. So we can use that to figure out the answer? How do we do that?
26,08_180817,8/18/17 18:04,1,1,2,user,statement,50,1,33,none,,,we're going to multiply 6 x 3
27,8_180817,8/18/17 18:04,1,1,2,nico,,,,,,1,no answer,Sweet! So that means my torso has a surface area of eighteen inches. I will put the answer is eighteen.
28,08_180817,8/18/17 18:04,1,1,2,user,statement,50,1,33,none,,,we're going to multiply 6 x 3 what is 6 * 3
29,8_180817,8/18/17 18:04,1,1,2,nico,,,,,,1,answering,Sweet! So that means my torso has a surface area of eighteen inches. I will put the answer is eighteen.
30,08_180817,8/18/17 18:04,1,2,2,user,,50,0,49,problem_1_2,,,
31,8_180817,8/18/17 18:04,1,2,2,nico,,,,,,1,no answer,So I think it is not enough to just go in up to my hips. Can you help me figure out what waterproof paint I need to cover my arms and head too? I'm looking at STEP ONE OF PROBLEM TWO and I'm not sure what to do.
32,08_180817,8/18/17 18:05,1,2,1,user,statement,50,1,1,none,,,6 divided by 3 equals what
33,8_180817,8/18/17 18:05,1,2,1,nico,,,,,,1,no answer,So we're looking at the ratio between the six and the two?
34,08_180817,8/18/17 18:05,1,2,1,user,statement,50,1,1,none,,,yes
35,8_180817,8/18/17 18:05,1,2,1,nico,,,,,,1,no answer,Oh okay. So six divided by two is three. So then do we divide three by three?
36,08_180817,8/18/17 18:05,1,2,1,user,statement,50,1,1,none,,,yes
37,8_180817,8/18/17 18:05,1,2,1,nico,,,,,,1,no answer,Three divided by three is one. So is one the answer?
38,08_180817,8/18/17 18:05,1,2,1,user,statement,50,1,1,none,,,yes Neko
39,8_180817,8/18/17 18:05,1,2,1,nico,,,,,,1,answering,Cool! So I only need one ounce of paint for my arms. I will put the answer is one.
40,08_180817,8/18/17 18:05,1,2,2,user,,50,0,33,step_1_2,,,
41,8_180817,8/18/17 18:05,1,2,2,nico,,,,,,1,no answer,Can you give me a hint on STEP TWO OF PROBLEM TWO?
42,08_180817,8/18/17 18:05,1,2,2,user,statement,50,1,33,none,,,2622 is also equal to 3 - 1
43,8_180817,8/18/17 18:05,1,2,2,nico,,,,,,1,no answer,Do we multiply by three?
44,08_180817,8/18/17 18:06,1,2,2,user,statement,50,1,33,none,,,yes we multiply 1 by 3 what is 1 * 3
45,8_180817,8/18/17 18:06,1,2,2,nico,,,,,,1,no answer,"If we multiply three times three, that's nine. So the answer is nine?"
46,08_180817,8/18/17 18:06,1,2,2,user,statement,50,1,33,none,,,correct
47,8_180817,8/18/17 18:06,1,2,2,nico,,,,,,1,answering,Okay great! So my head has a surface area of nine inches. I will put the answer is nine.
48,08_180817,8/18/17 18:06,1,3,2,user,,50,0,49,problem_2_3,,,
49,8_180817,8/18/17 18:06,1,3,2,nico,,,,,,1,no answer,Thank you so much for helping me figure out how to make myself waterproof! But now I need help figuring out how to get to the beach! Can you help me figure out where I should be stopping on MY WAY THERE?
50,08_180817,8/18/17 18:06,1,3,1,user,statement,50,1,1,none,,,1 to 60 is the ratio of time to distance to the beach
51,8_180817,8/18/17 18:06,1,3,1,nico,,,,,,1,no answer,Ok I know I can drive sixty miles in one hour. Do we multiply sixty by two point five hours? Does that make sense?
52,08_180817,8/18/17 18:07,1,3,1,user,statement,50,1,1,none,,,yes Neko we multiply 60 by 2.5
53,8_180817,8/18/17 18:07,1,3,1,nico,,,,,,1,no answer,Awesome. So we multiply sixty by two point five. Then the answer is one hundred and fifty?
54,08_180817,8/18/17 18:07,1,3,1,user,statement,50,1,1,none,,,correct
55,8_180817,8/18/17 18:07,1,3,1,nico,,,,,,1,answering,"In two and a half hours, I can drive one hundred and fifty miles. I will put the answer is one hundred and fifty."
56,08_180817,8/18/17 18:07,1,3,2,user,,50,0,33,step_1_2,,,
57,8_180817,8/18/17 18:07,1,3,2,nico,,,,,,1,no answer,I'm really not sure what to do on STEP TWO OF THIS THIRD PROBLEM.
58,08_180817,8/18/17 18:07,1,3,2,user,statement,50,1,33,none,,,so 2.5 to 150 is the ratio to the time and hours to the distance to the beach
59,8_180817,8/18/17 18:07,1,3,2,nico,,,,,,1,no answer,Okay that sounds good.
60,08_180817,8/18/17 18:08,1,3,2,user,statement,50,1,33,none,,,so what is 150 * to Nico
