#,UserID,DateTime,SessionID,ProblemID,StepID,Owner,DialogueAct,DialogueActConfidence,Spoke,StepAnswer,ClickStep,NicoMovement,Answered,Transcript
0,8_180817,8/18/2017 18:01,1,1,0,user,,50,0,1,hello nico start,,,HELLO FIRST TIME
1,8_180817,8/18/2017 18:01,1,1,0,nico,,,,,,1,no answer,Hi! My name is Nico. What is your name?
2,8_180817,8/18/2017 18:02,1,1,0,user,statement,50,1,1,none,,,my name is Jonathan
3,8_180817,8/18/2017 18:02,1,1,0,nico,,,,,,1,no answer,Nice to meet you Jonathan. Are you ready to get started?
4,8_180817,8/18/2017 18:02,1,1,0,user,,50,0,1,problem start,,,problem start
5,8_180817,8/18/2017 18:02,1,1,0,nico,,,,,,1,no answer,"I really want to go swimming with my friends, but I need to put some waterproof paint on first. I need help figuring out how much paint to put on my legs and torso. Can you give me a hint for how to figure out the first part, STEP ONE?"
6,8_180817,8/18/2017 18:02,1,1,1,user,statement,50,1,1,none,,,what times 6 equals 2
7,8_180817,8/18/2017 18:02,1,1,1,nico,,,,,,1,no answer,Do we divide six by two or by three?
8,8_180817,8/18/2017 18:02,1,1,1,user,statement,50,1,1,none,,,what divided by 6 equals to go
9,8_180817,8/18/2017 18:02,1,1,1,nico,,,,,,1,no answer,Do we divide six by two or by three?
10,8_180817,8/18/2017 18:03,1,1,1,user,statement,50,1,1,none,,,divide 6 by 2
11,8_180817,8/18/2017 18:03,1,1,1,nico,,,,,,1,no answer,Okay so we divide. Can you tell me what we are dividing again?
12,8_180817,8/18/2017 18:03,1,1,1,user,statement,50,1,1,none,,,divide 6 by 3
13,8_180817,8/18/2017 18:03,1,1,1,nico,,,,,,1,no answer,Okay so we divide six by three. Six divided by three is two right?
14,8_180817,8/18/2017 18:03,1,1,1,user,statement,50,1,1,none,,,correct
15,8_180817,8/18/2017 18:03,1,1,1,nico,,,,,,1,no answer,Did you say four is the answer?
16,8_180817,8/18/2017 18:03,1,1,1,user,statement,50,1,1,none,,,correct so 12 / 3 equals 4 then
17,8_180817,8/18/2017 18:03,1,1,1,nico,,,,,,1,no answer,Did you say four is the answer?
18,8_180817,8/18/2017 18:03,1,1,1,user,statement,50,1,1,none,,,so 12 / 3 equals 4
19,8_180817,8/18/2017 18:03,1,1,1,nico,,,,,,1,no answer,Did you say four is the answer?
20,8_180817,8/18/2017 18:03,1,1,1,user,statement,50,1,1,none,,,yes
21,8_180817,8/18/2017 18:03,1,1,1,nico,,,,,,1,answering,Cool! So we need four ounces of paint to cover my feet. I will put the answer is four.
22,8_180817,8/18/2017 18:03,1,1,2,user,,50,0,33,step_1_2,,,
23,8_180817,8/18/2017 18:03,1,1,2,nico,,,,,,1,no answer,Can you give me a hint for STEP TWO?
24,8_180817,8/18/2017 18:04,1,1,2,user,statement,50,1,33,none,,,so two times 3 equals 6
25,8_180817,8/18/2017 18:04,1,1,2,nico,,,,,,1,no answer,So two times three is six. So we can use that to figure out the answer? How do we do that?
26,8_180817,8/18/2017 18:04,1,1,2,user,statement,50,1,33,none,,,we're going to multiply 6 x 3
27,8_180817,8/18/2017 18:04,1,1,2,nico,,,,,,1,no answer,Sweet! So that means my torso has a surface area of eighteen inches. I will put the answer is eighteen.
28,8_180817,8/18/2017 18:04,1,1,2,user,statement,50,1,33,none,,,we're going to multiply 6 x 3 what is 6 * 3
29,8_180817,8/18/2017 18:04,1,1,2,nico,,,,,,1,answering,Sweet! So that means my torso has a surface area of eighteen inches. I will put the answer is eighteen.
30,8_180817,8/18/2017 18:04,1,2,2,user,,50,0,49,problem_1_2,,,
31,8_180817,8/18/2017 18:04,1,2,2,nico,,,,,,1,no answer,So I think it is not enough to just go in up to my hips. Can you help me figure out what waterproof paint I need to cover my arms and head too? I'm looking at STEP ONE OF PROBLEM TWO and I'm not sure what to do.
32,8_180817,8/18/2017 18:05,1,2,1,user,statement,50,1,1,none,,,6 divided by 3 equals what
33,8_180817,8/18/2017 18:05,1,2,1,nico,,,,,,1,no answer,So we're looking at the ratio between the six and the two?
34,8_180817,8/18/2017 18:05,1,2,1,user,statement,50,1,1,none,,,yes
35,8_180817,8/18/2017 18:05,1,2,1,nico,,,,,,1,no answer,Oh okay. So six divided by two is three. So then do we divide three by three?
36,8_180817,8/18/2017 18:05,1,2,1,user,statement,50,1,1,none,,,yes
37,8_180817,8/18/2017 18:05,1,2,1,nico,,,,,,1,no answer,Three divided by three is one. So is one the answer?
38,8_180817,8/18/2017 18:05,1,2,1,user,statement,50,1,1,none,,,yes Neko
39,8_180817,8/18/2017 18:05,1,2,1,nico,,,,,,1,answering,Cool! So I only need one ounce of paint for my arms. I will put the answer is one.
40,8_180817,8/18/2017 18:05,1,2,2,user,,50,0,33,step_1_2,,,
41,8_180817,8/18/2017 18:05,1,2,2,nico,,,,,,1,no answer,Can you give me a hint on STEP TWO OF PROBLEM TWO?
42,8_180817,8/18/2017 18:05,1,2,2,user,statement,50,1,33,none,,,2622 is also equal to 3 - 1
43,8_180817,8/18/2017 18:05,1,2,2,nico,,,,,,1,no answer,Do we multiply by three?
44,8_180817,8/18/2017 18:06,1,2,2,user,statement,50,1,33,none,,,yes we multiply 1 by 3 what is 1 * 3
45,8_180817,8/18/2017 18:06,1,2,2,nico,,,,,,1,no answer,"If we multiply three times three, that's nine. So the answer is nine?"
46,8_180817,8/18/2017 18:06,1,2,2,user,statement,50,1,33,none,,,correct
47,8_180817,8/18/2017 18:06,1,2,2,nico,,,,,,1,answering,Okay great! So my head has a surface area of nine inches. I will put the answer is nine.
48,8_180817,8/18/2017 18:06,1,3,2,user,,50,0,49,problem_2_3,,,
49,8_180817,8/18/2017 18:06,1,3,2,nico,,,,,,1,no answer,Thank you so much for helping me figure out how to make myself waterproof! But now I need help figuring out how to get to the beach! Can you help me figure out where I should be stopping on MY WAY THERE?
